,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
101,Tim Thomas,NYK,28,71,30,41,27.3,12,4.4,10.1,43.9,1.2,2.9,40.9,1.9,2.4,78.6,0.6,2.7,3.3,1.5,1.6,0.6,0.2,3.1,19.2,0,0,-2.4
102,Dwight Howard,ORL,19,82,36,46,32.7,12,4.3,8.3,52,0,0,0,3.4,5,67.1,3.5,6.5,10,0.9,2,0.9,1.7,2.8,31.2,32,0,-2.2
103,Marc Jackson,PHI,30,81,42,39,24.3,12,4.2,9,46.5,0,0,0,3.6,4.3,82.8,2.3,2.7,5,1,1.6,0.4,0.2,2.1,19.7,4,0,0
104,Tony Delk,ATL,31,56,6,50,24.1,11.9,4.4,10.6,41.6,1.3,3.6,35.6,1.8,2.4,75.7,0.5,1.8,2.3,1.9,1,0.8,0.1,2.2,19.2,0,0,-3.8
105,Derek Fisher,GSW,30,74,31,43,30,11.9,4,10.2,39.3,1.5,3.9,37.1,2.4,2.7,86.2,0.5,2.4,2.9,4.1,1.7,1,0.1,2.4,23,0,0,-0.7
106,Allan Houston,NYK,34,20,8,12,26.7,11.9,4.3,10.3,41.5,1.6,4,38.8,1.8,2.2,83.7,0.2,1,1.2,2.1,1.1,0.4,0.1,2,16.8,0,0,1.2
106,David Wesley,HOU,34,80,40,40,34.7,11.9,4.2,10.5,39.8,1.5,3.9,37.5,2,2.4,85.7,0.5,2.4,2.9,3.3,1.4,1.2,0.1,2.7,22.8,1,0,-0.1
108,Vladimir Radmanovic,SEA,24,63,43,20,29.5,11.8,4.2,10.3,41,2,5.2,38.9,1.3,1.6,78.6,0.8,3.8,4.6,1.4,1.3,0.9,0.5,2.7,22.3,3,0,4.5
109,Mike James,HOU,30,74,38,36,25.1,11.8,4.5,10.1,44.1,1.4,3.5,38.6,1.5,2,75.2,0.5,2.3,2.8,3.6,1.4,0.9,0.1,2.4,21.9,1,0,2.1
110,Jamaal Magloire,NOH,27,23,5,18,30.7,11.7,4.3,9.9,43.2,0,0,0,3.2,5.3,60.2,3.4,5.5,8.9,1.3,2.6,0.3,1,3.2,25.8,8,0,-4.4
